[SWEET 17]

    IDENTIFIER      THICKNESS    UNITS    FLAGS    SU #
 A01                  0.327       IN      M-----   02  
 A02                  0.326       IN      M-----   02  
 A03                  0.330       IN      M-----   02  
 A04                  0.333       IN      M-----   02  
 A05                  0.328       IN      M-----   02  
 A06                  0.327       IN      M-----   02  
 A07                  0.329       IN      M-----   02  
 A08                  0.319       IN      M-----   02  
 A09                  0.317       IN      M-----   02  
 A10                  0.307       IN      M-----   02  
 A11                  0.311       IN      M-----   02  
 A12                  0.315       IN      M-----   02  
 A13                  0.319       IN      M-----   02  
 A14                  0.295       IN      M-----   02  
 A15                  0.322       IN      M-----   02  
 A16                  0.323       IN      M-----   02  
 A17                  0.328       IN      M-----   02  
 A18                  0.351       IN      M-----   02  
 A19                  0.342       IN      M-----   02  
 A20                  0.336       IN      M-----   02  
 A21                  0.328       IN      M-----   02  
 A22                  0.337       IN      M-----   02  
 A23                  0.341       IN      M-----   02  
 A24                  0.340       IN      M-----   02  
 A25                  0.344       IN      M-----   02  
 A26                  0.344       IN      M-----   02  
 B01                  0.317       IN      M-----   02  
 B02                  0.326       IN      M-----   02  
 B03                  0.323       IN      M-----   02  
 B04                  0.341       IN      M-----   02  
 B05                  0.343       IN      M-----   02  
 B06                  0.346       IN      M-----   02  
 B07                  0.351       IN      M-----   02  
 B08                  0.338       IN      M-----   02  
 B09                  0.334       IN      M-----   02  
 B10                  0.338       IN      M-----   02  
 B11                  0.345       IN      M-----   02  
 B12                  0.357       IN      M-----   02  
 B13                  0.365       IN      M-----   02  
 B14                  0.362       IN      M-----   02  
 B15                  0.360       IN      M-----   02  
 B16                  0.352       IN      M-----   02  
 B17                  0.349       IN      M-----   02  
 B18                  0.333       IN      M-----   02  
 B19                  0.335       IN      M-----   02  
 B20                  0.336       IN      M-----   02  
 B21                  0.327       IN      M-----   02  
 B22                  0.336       IN      M-----   02  
 B23                  0.337       IN      M-----   02  
 B24                  0.337       IN      M-----   02  
 B25                  0.343       IN      M-----   02  
 B26                  0.334       IN      M-----   02  
 C01                  0.327       IN      M-----   02  
 C02                  0.330       IN      M-----   02  
 C03                  0.335       IN      M-----   02  
 C04                  0.349       IN      M-----   02  
 C05                  0.350       IN      M-----   02  
 C06                  0.354       IN      M-----   02  
 C07                  0.354       IN      M-----   02  
 C08                  0.354       IN      M-----   02  
 C09                  0.348       IN      M-----   02  
 C10                  0.350       IN      M-----   02  
 C11                  0.359       IN      M-----   02  
 C12                  0.366       IN      M-----   02  
 C13                  0.370       IN      M-----   02  
 C14                  0.369       IN      M-----   02  
 C15                  0.368       IN      M-----   02  
 C16                  0.361       IN      M-----   02  
 C17                  0.345       IN      M-----   02  
 C18                  0.338       IN      M-----   02  
 C19                  0.342       IN      M-----   02  
 C20                  0.342       IN      M-----   02  
 C21                  0.341       IN      M-----   02  
 C22                  0.347       IN      M-----   02  
 C23                  0.342       IN      M-----   02  
 C24                  0.386       IN      M-----   02  
 C25                  0.348       IN      M-----   02  
 C26                  0.339       IN      M-----   02  
 D01                  0.333       IN      M-----   02  
 D02                  0.334       IN      M-----   02  
 D03                  0.338       IN      M-----   02  
 D04                  0.352       IN      M-----   02  
 D05                  0.339       IN      M-----   02  
 D06                  0.341       IN      M-----   02  
 D07                  0.322       IN      M-----   02  
 D08                  0.348       IN      M-----   02  
 D09                  0.347       IN      M-----   02  
 D10                  0.354       IN      M-----   02  
 D11                  0.352       IN      M-----   02  
 D12                  0.363       IN      M-----   02  
 D13                  0.373       IN      M-----   02  
 D14                  0.383       IN      M-----   02  
 D15                  0.373       IN      M-----   02  
 D16                  0.373       IN      M-----   02  
 D17                  0.367       IN      M-----   02  
 D18                  0.367       IN      M-----   02  
 D19                  0.328       IN      M-----   02  
 D20                  0.338       IN      M-----   02  
 D21                  0.335       IN      M-----   02  
 D22                  0.337       IN      M-----   02  
 D23                  0.342       IN      M-----   02  
 D24                  0.336       IN      M-----   02  
 D25                  0.332       IN      M-----   02  
 D26                  0.335       IN      M-----   02  
 E01                  0.332       IN      M-----   02  
 E02                  0.337       IN      M-----   02  
 E03                  0.343       IN      M-----   02  
 E04                  0.345       IN      M-----   02  
 E05                  0.362       IN      M-----   02  
 E06                  0.374       IN      M-----   02  
 E07                  0.363       IN      M-----   02  
 E08                  0.368       IN      M-----   02  
 E09                  0.367       IN      M-----   02  
 E10                  0.372       IN      M-----   02  
 E11                  0.380       IN      M-----   02  
 E12                  0.398       IN      M-----   02  
 E13                  0.401       IN      M-----   02  
 E14                  0.406       IN      M-----   02  
 E15                  0.391       IN      M-----   02  
 E16                  0.391       IN      M-----   02  
 E17                  0.389       IN      M-----   02  
 E18                  0.406       IN      M-----   02  
 E19                  0.342       IN      M-----   02  
 E20                  0.344       IN      M-----   02  
 E21                  0.340       IN      M-----   02  
 E22                  0.348       IN      M-----   02  
 E23                  0.367       IN      M-----   02  
 E24                  0.356       IN      M-----   02  
 E25                  0.339       IN      M-----   02  
 E26                  0.337       IN      M-----   02  
 F01                  0.339       IN      M-----   02  
 F02                  0.329       IN      M-----   02  
 F03                  0.333       IN      M-----   02  
 F04                  0.334       IN      M-----   02  
 F05                  0.353       IN      M-----   02  
 F06                  0.361       IN      M-----   02  
 F07                  0.359       IN      M-----   02  
 F08                  0.366       IN      M-----   02  
 F09                  0.381       IN      M-----   02  
 F10                  0.395       IN      M-----   02  
 F11                  0.402       IN      M-----   02  
 F12                  0.398       IN      M-----   02  
 F13                  0.394       IN      M-----   02  
 F14                  0.386       IN      M-----   02  
 F15                  0.379       IN      M-----   02  
 F16                  0.373       IN      M-----   02  
 F17                  0.379       IN      M-----   02  
 F18                  0.340       IN      M-----   02  
 F19                  0.347       IN      M-----   02  
 F20                  0.343       IN      M-----   02  
 F21                  0.347       IN      M-----   02  
 F22                  0.354       IN      M-----   02  
