[SWEET 16]

    IDENTIFIER      THICKNESS    UNITS    FLAGS    SU #
 A01                  0.485       IN      M--G--   03  
 A02                  0.482       IN      M--G--   03  
 A03                  0.478       IN      M--G--   03  
 A04                  0.478       IN      M--G--   03  
 A05                  0.479       IN      M--G--   03  
 A06                  0.485       IN      M--G--   03  
 A07                  0.488       IN      M--G--   03  
 A08                  0.345       IN      M--G--   03  
 A09                  0.277       IN      M--G--   03  
 A10                  0.506       IN      M--G--   03  
 A11                  0.501       IN      M--G--   03  
 A12                  0.503       IN      M--G--   03  
 A13                  0.501       IN      M--G--   03  
 A14                  0.496       IN      M--G--   03  
 A15                  0.415       IN      M--G--   03  
 A16                  0.385       IN      M--G--   03  
 B01                  0.485       IN      M--G--   03  
 B02                  0.484       IN      M--G--   03  
 B03                  0.481       IN      M--G--   03  
 B04                  0.484       IN      M--G--   03  
 B05                  0.483       IN      M--G--   03  
 B06                  0.478       IN      M--G--   03  
 B07                  0.486       IN      M--G--   03  
 B08                  0.476       IN      M--G--   03  
 B09                  0.279       IN      M--G--   03  
 B10                  0.500       IN      M--G--   03  
 B11                  0.504       IN      M--G--   03  
 B12                  0.501       IN      M--G--   03  
 B13                  0.497       IN      M--G--   03  
 B14                  0.498       IN      M--G--   03  
 B15                  0.410       IN      M--G--   03  
 B16                  0.365       IN      M--G--   03  
 C01                  0.488       IN      M--G--   03  
 C02                  0.489       IN      M--G--   03  
 C03                  0.487       IN      M--G--   03  
 C04                  0.488       IN      M--G--   03  
 C05                  0.338       IN      M--G--   03  
 C06                  0.351       IN      M--G--   03  
 C07                  0.494       IN      M--G--   03  
 C08                  0.479       IN      M--G--   03  
 C09                  0.500       IN      M--G--   03  
 C10                  0.503       IN      M--G--   03  
 C11                  0.503       IN      M--G--   03  
 C12                  0.503       IN      M--G--   03  
 C13                  0.499       IN      M--G--   03  
 C14                  0.498       IN      M--G--   03  
 C15                  0.467       IN      M--G--   03  
 C16                  0.353       IN      M--G--   03  
 D01                  0.488       IN      M--G--   03  
 D02                  0.492       IN      M--G--   03  
 D03                  0.493       IN      M--G--   03  
 D04                  0.489       IN      M--G--   03  
 D05                  0.357       IN      M--G--   03  
 D06                  0.366       IN      M--G--   03  
 D07                  0.487       IN      M--G--   03  
 D08                  0.486       IN      M--G--   03  
 D09                  0.481       IN      M--G--   03  
 D10                  0.504       IN      M--G--   03  
 D11                  0.503       IN      M--G--   03  
 D12                  0.501       IN      M--G--   03  
 D13                  0.499       IN      M--G--   03  
 D14                  0.491       IN      M--G--   03  
 D15                  0.440       IN      M--G--   03  
 D16                  0.379       IN      M--G--   03  
 E01                  0.495       IN      M--G--   03  
 E02                  0.501       IN      M--G--   03  
 E03                  0.489       IN      M--G--   03  
 E04                  0.501       IN      M--G--   03  
 E05                  0.497       IN      M--G--   03  
 E06                  0.518       IN      M--G--   03  
 E07                  0.352       IN      M--G--   03  
 E08                  0.364       IN      M--G--   03  
 E09                  0.379       IN      M--G--   03  
 E10                  0.500       IN      M--G--   03  
 E11                  0.502       IN      M--G--   03  
 E12                  0.505       IN      M--G--   03  
 E13                  0.500       IN      M--G--   03  
 E14                  0.496       IN      M--G--   03  
 E15                  0.431       IN      M--G--   03  
 E16                  0.378       IN      M--G--   03  
 F01                  0.503       IN      M--G--   03  
 F02                  0.509       IN      M--G--   03  
 F03                  0.503       IN      M--G--   03  
 F04                  0.505       IN      M--G--   03  
 F05                  0.471       IN      M--G--   03  
 F06                  0.510       IN      M--G--   03  
 F07                  0.506       IN      M--G--   03  
 F08                  0.379       IN      M--G--   03  
 F09                  0.473       IN      M--G--   03  
 F10                  0.500       IN      M--G--   03  
 F11                  0.502       IN      M--G--   03  
 F12                  0.499       IN      M--G--   03  
 F13                  0.499       IN      M--G--   03  
 F14                  0.497       IN      M--G--   03  
 F15                  0.493       IN      M--G--   03  
 F16                  0.383       IN      M--G--   03  
 G01                  --.---      IN      L--G--   03  
 G02                  0.450       IN      M--G--   03  
 G03                  0.499       IN      M--G--   03  
 G04                  0.499       IN      M--G--   03  
 G05                  0.493       IN      M--G--   03  
 G06                  0.509       IN      M--G--   03  
 G07                  0.504       IN      M--G--   03  
 G08                  0.456       IN      M--G--   03  
 G09                  0.313       IN      M--G--   03  
 G10                  0.454       IN      M--G--   03  
 G11                  0.500       IN      M--G--   03  
 G12                  0.502       IN      M--G--   03  
 G13                  0.366       IN      M--G--   03  
 G14                  0.484       IN      M--G--   03  
 G15                  0.511       IN      M--G--   03  
 G16                  0.383       IN      M--G--   03  
 H01                  --.---      IN      L--G--   03  
 H02                  0.444       IN      M--G--   03  
 H03                  0.497       IN      M--G--   03  
 H04                  0.497       IN      M--G--   03  
 H05                  0.494       IN      M--G--   03  
 H06                  0.498       IN      M--G--   03  
 H07                  0.498       IN      M--G--   03  
 H08                  0.466       IN      M--G--   03  
 H09                  0.347       IN      M--G--   03  
 H10                  0.372       IN      M--G--   03  
 H11                  0.497       IN      M--G--   03  
 H12                  0.496       IN      M--G--   03  
 H13                  0.485       IN      M--G--   03  
 H14                  0.495       IN      M--G--   03  
 H15                  0.465       IN      M--G--   03  
 H16                  0.379       IN      M--G--   03  
 I01                  --.---      IN      L-----   02  
 I02                  0.503       IN      M-----   02  
 I03                  0.499       IN      M-----   02  
 I04                  0.493       IN      M-----   02  
 I05                  0.492       IN      M-----   02  
 I06                  0.384       IN      M-----   02  
 I07                  0.475       IN      M-----   02  
 I08                  0.371       IN      M-----   02  
 I09                  0.498       IN      M-----   02  
 I10                  0.369       IN      M-----   02  
 I11                  0.353       IN      M-----   02  
 I12                  0.493       IN      M-----   02  
 I13                  0.496       IN      M-----   02  
 I14                  0.498       IN      M-----   02  
 I15                  0.417       IN      M-----   02  
 I16                  0.373       IN      M-----   02  
 J01                  --.---      IN      L-----   02  
 J02                  0.367       IN      M-----   02  
 J03                  0.329       IN      M-----   02  
 J04                  0.492       IN      M-----   02  
 J05                  0.478       IN      M-----   02  
 J06                  0.473       IN      M--G--   03  
 J07                  0.431       IN      M--G--   03  
 J08                  0.389       IN      M--G--   03  
 J09                  0.497       IN      M--G--   03  
 J10                  0.495       IN      M--G--   03  
 J11                  0.498       IN      M--G--   03  
 J12                  0.497       IN      M--G--   03  
 J13                  0.496       IN      M--G--   03  
 J14                  0.497       IN      M--G--   03  
 J15                  0.410       IN      M--G--   03  
 J16                  0.363       IN      M--G--   03  
 K01                  --.---      IN      L--G--   03  
 K02                  0.401       IN      M--G--   03  
 K03                  0.313       IN      M--G--   03  
 K04                  0.275       IN      M--G--   03  
 K05                  0.367       IN      M--G--   03  
 K06                  0.405       IN      M--G--   03  
 K07                  0.483       IN      M--G--   03  
 K08                  0.498       IN      M--G--   03  
 K09                  0.494       IN      M--G--   03  
 K10                  0.495       IN      M--G--   03  
 K11                  0.496       IN      M--G--   03  
 K12                  0.488       IN      M--G--   03  
 K13                  0.496       IN      M--G--   03  
 K14                  0.488       IN      M--G--   03  
 K15                  0.409       IN      M--G--   03  
 K16                  0.369       IN      M--G--   03  
 L01                  --.---      IN      L--G--   03  
 L02                  0.391       IN      M--G--   03  
 L03                  0.275       IN      M--G--   03  
 L04                  0.227       IN      M--G--   03  
 L05                  0.281       IN      M--G--   03  
 L06                  0.239       IN      M--G--   03  
 L07                  0.499       IN      M--G--   03  
 L08                  0.496       IN      M--G--   03  
 L09                  0.496       IN      M--G--   03  
 L10                  0.490       IN      M--G--   03  
 L11                  0.494       IN      M--G--   03  
 L12                  0.494       IN      M--G--   03  
 L13                  0.489       IN      M--G--   03  
 L14                  0.339       IN      M--G--   03  
 L15                  0.456       IN      M--G--   03  
 L16                  0.353       IN      M--G--   03  
 M01                  --.---      IN      L--G--   03  
 M02                  0.296       IN      M--G--   03  
 M03                  0.305       IN      M--G--   03  
 M04                  0.235       IN      M--G--   03  
 M05                  0.169       IN      M--G--   03  
 M06                  0.116       IN      M--G--   03  
 M07                  0.456       IN      M--G--   03  
 M08                  0.455       IN      M--G--   03  
 M09                  0.467       IN      M--G--   03  
 M10                  0.461       IN      M--G--   03  
 M11                  0.467       IN      M--G--   03  
 M12                  0.460       IN      M--G--   03  
 M13                  0.469       IN      M--G--   03  
 M14                  0.455       IN      M--G--   03  
 M15                  0.437       IN      M--G--   03  
 M16                  0.348       IN      M--G--   03  
 N01                  --.---      IN      L--G--   03  
 N02                  0.360       IN      M--G--   03  
 N03                  0.478       IN      M--G--   03  
 N04                  0.406       IN      M--G--   03  
 N05                  0.385       IN      M--G--   03  
 N06                  0.204       IN      M--G--   03  
 N07                  0.451       IN      M--G--   03  
 N08                  0.464       IN      M--G--   03  
 N09                  0.467       IN      M--G--   03  
 N10                  0.489       IN      M--G--   03  
 N11                  0.475       IN      M--G--   03  
 N12                  0.474       IN      M--G--   03  
 N13                  0.444       IN      M--G--   03  
 N14                  0.474       IN      M--G--   03  
 N15                  0.432       IN      M--G--   03  
 N16                  0.350       IN      M--G--   03  
 O01                  --.---      IN      L--G--   03  
 O02                  0.446       IN      M--G--   03  
 O03                  0.442       IN      M--G--   03  
 O04                  0.387       IN      M--G--   03  
 O05                  0.391       IN      M--G--   03  
 O06                  0.493       IN      M--G--   03  
 O07                  0.495       IN      M--G--   03  
 O08                  0.499       IN      M--G--   03  
 O09                  0.498       IN      M--G--   03  
 O10                  0.496       IN      M--G--   03  
 O11                  0.500       IN      M--G--   03  
 O12                  0.494       IN      M--G--   03  
 O13                  0.496       IN      M--G--   03  
 O14                  0.497       IN      M--G--   03  
