[CHILD]

  IDENTIFIER    THICKNESS    UNITS    FLAGS    SU #
 A01              0.501       IN      M----    1  
 A02              0.504       IN      M----    1  
 A03              0.503       IN      M----    1  
 A04              0.509       IN      M----    1  
 A05              0.506       IN      M----    1  
 A06              0.510       IN      M----    1  
 A07              0.510       IN      M----    1  
 A08              0.510       IN      M----    1  
 A09              0.507       IN      M----    1  
 A10              0.507       IN      M----    1  
 A11              0.424       IN      M----    1  
 B01              0.401       IN      M----    1  
 B02              0.503       IN      M----    1  
 B03              0.506       IN      M----    1  
 B04              0.509       IN      M----    1  
 B05              0.510       IN      M----    1  
 B06              0.510       IN      M----    1  
 B07              0.511       IN      M----    1  
 B08              0.508       IN      M----    1  
 B09              0.508       IN      M----    1  
 B10              0.508       IN      M----    1  
 B11              0.506       IN      M----    1  
 C01              0.437       IN      M----    1  
 C02              0.417       IN      M----    1  
 C03              0.505       IN      M----    1  
 C04              0.504       IN      M----    1  
 C05              0.531       IN      M----    1  
 C06              0.509       IN      M----    1  
 C07              0.509       IN      M----    1  
 C08              0.508       IN      M----    1  
 C09              0.508       IN      M----    1  
 C10              0.508       IN      M----    1  
 C11              0.430       IN      M----    1  
 D01              0.509       IN      M----    1  
 D02              0.511       IN      M----    1  
 D03              0.512       IN      M----    1  
 D04              0.514       IN      M----    1  
 D05              0.505       IN      M----    1  
 D06              0.512       IN      M----    1  
 D07              0.510       IN      M----    1  
 D08              0.505       IN      M----    1  
 D09              0.498       IN      M----    1  
 D10              0.509       IN      M----    1  
 D11              0.410       IN      M----    1  
 E01              0.511       IN      M----    1  
 E02              0.511       IN      M----    1  
 E03              0.516       IN      M----    1  
 E04              0.511       IN      M----    1  
 E05              0.516       IN      M----    1  
 E06              0.516       IN      M----    1  
 E07              0.510       IN      M----    1  
 E08              0.515       IN      M----    1  
 E09              0.510       IN      M----    1  
 E10              0.506       IN      M----    1  
 E11              0.400       IN      M----    1  
 F01              0.504       IN      M----    1  
 F02              0.513       IN      M----    1  
 F03              0.511       IN      M----    1  
 F04              0.515       IN      M----    1  
 F05              0.518       IN      M----    1  
 F06              0.512       IN      M----    1  
 F07              0.511       IN      M----    1  
 F08              0.516       IN      M----    1  
 F09              0.507       IN      M----    1  
 F10              0.506       IN      M----    1  
 F11              0.392       IN      M----    1  
 G01              0.510       IN      M----    1  
 G02              0.510       IN      M----    1  
 G03              0.510       IN      M----    1  
 G04              0.510       IN      M----    1  
 G05              0.510       IN      M----    1  
 G06              0.516       IN      M----    1  
 G07              0.510       IN      M----    1  
 G08              0.512       IN      M----    1  
 G09              0.508       IN      M----    1  
 G10              0.511       IN      M----    1  
 G11              0.402       IN      M----    1  
 H01              0.476       IN      M----    1  
 H02              0.513       IN      M----    1  
 H03              0.508       IN      M----    1  
 H04              0.512       IN      M----    1  
 H05              0.511       IN      M----    1  
 H06              0.510       IN      M----    1  
 H07              0.511       IN      M----    1  
 H08              0.510       IN      M----    1  
 H09              0.507       IN      M----    1  
 H10              0.500       IN      M----    1  
 H11              0.400       IN      M----    1  
 I01              0.310       IN      M----    1  
 I02              0.292       IN      M----    1  
 I03              0.375       IN      M----    1  
 I04              0.477       IN      M----    1  
 I05              0.513       IN      M----    1  
 I06              0.512       IN      M----    1  
 I07              0.508       IN      M----    1  
 I08              0.509       IN      M----    1  
 I09              0.510       IN      M----    1  
 I10              0.509       IN      M----    1  
 I11              0.395       IN      M----    1  
 J01              0.304       IN      M----    1  
 J02              0.303       IN      M----    1  
 J03              0.239       IN      M----    1  
 J04              0.241       IN      M----    1  
 J05              0.245       IN      M----    1  
 J06              0.509       IN      M----    1  
 J07              0.509       IN      M----    1  
 J08              0.457       IN      M----    1  
 J09              0.488       IN      M----    1  
 J10              0.491       IN      M----    1  
 J11              0.426       IN      M----    1  
 K01              0.258       IN      M----    1  
 K02              0.238       IN      M----    1  
 K03              0.262       IN      M----    1  
 K04              0.244       IN      M----    1  
 K05              0.439       IN      M----    1  
 K06              0.513       IN      M----    1  
 K07              0.511       IN      M----    1  
 K08              0.509       IN      M----    1  
 K09              0.509       IN      M----    1  
 K10              0.508       IN      M----    1  
 K11              0.427       IN      M----    1  
 L01              0.216       IN      M----    1  
 L02              0.256       IN      M----    1  
 L03              0.280       IN      M----    1  
 L04              0.299       IN      M----    1  
 L05              0.370       IN      M----    1  
 L06              0.511       IN      M----    1  
 L07              0.511       IN      M----    1  
 L08              0.510       IN      M----    1  
 L09              0.508       IN      M----    1  
 L10              0.508       IN      M----    1  
 L11              0.396       IN      M----    1  
 M01              0.251       IN      M----    1  
 M02              0.238       IN      M----    1  
 M03              0.375       IN      M----    1  
 M04              0.453       IN      M----    1  
 M05              0.391       IN      M----    1  
 M06              0.422       IN      M----    1  
 M07              0.511       IN      M----    1  
 M08              0.503       IN      M----    1  
 M09              0.505       IN      M----    1  
 M10              0.513       IN      M----    1  
 M11              0.405       IN      M----    1  
 N01              0.255       IN      M----    1  
 N02              0.354       IN      M----    1  
 N03              0.485       IN      M----    1  
 N04              0.369       IN      M----    1  
 N05              0.258       IN      M----    1  
 N06              0.511       IN      M----    1  
 N07              0.513       IN      M----    1  
 N08              0.512       IN      M----    1  
 N09              0.511       IN      M----    1  
 N10              0.511       IN      M----    1  
 N11              0.389       IN      M----    1  
 O01              0.363       IN      M----    1  
 O02              0.275       IN      M----    1  
 O03              0.227       IN      M----    1  
 O04              0.275       IN      M----    1  
 O05              0.337       IN      M----    1  
 O06              0.414       IN      M----    1  
 O07              0.511       IN      M----    1  
 O08              0.513       IN      M----    1  
 O09              0.512       IN      M----    1  
 O10              0.520       IN      M----    1  
 O11              0.396       IN      M----    1  
 P01              0.242       IN      M----    1  
 P02              0.349       IN      M----    1  
