[SWEET 16]

    IDENTIFIER      THICKNESS    UNITS    FLAGS    SU #
 A01                  0.369       IN      M-----   02  
 A02                  0.364       IN      M-----   02  
 A03                  0.371       IN      M-----   02  
 A04                  0.360       IN      M-----   02  
 A05                  0.366       IN      M-----   02  
 A06                  0.430       IN      M-----   02  
 A07                  0.434       IN      M-----   02  
 A08                  0.437       IN      M-----   02  
 A09                  0.429       IN      M-----   02  
 A10                  0.432       IN      M-----   02  
 A11                  0.436       IN      M-----   02  
 A12                  0.431       IN      M-----   02  
 A13                  0.434       IN      M-----   02  
 A14                  0.446       IN      M-----   02  
 A15                  0.441       IN      M-----   02  
 B01                  0.371       IN      M-----   02  
 B02                  0.365       IN      M-----   02  
 B03                  0.367       IN      M-----   02  
 B04                  0.375       IN      M-----   02  
 B05                  0.365       IN      M-----   02  
 B06                  0.417       IN      M-----   02  
 B07                  0.421       IN      M-----   02  
 B08                  0.412       IN      M-----   02  
 B09                  0.417       IN      M-----   02  
 B10                  0.418       IN      M-----   02  
 B11                  0.425       IN      M-----   02  
 B12                  0.428       IN      M-----   02  
 B13                  0.435       IN      M-----   02  
 B14                  0.428       IN      M-----   02  
 B15                  0.431       IN      M-----   02  
 C01                  0.377       IN      M-----   02  
 C02                  0.376       IN      M-----   02  
 C03                  0.373       IN      M-----   02  
 C04                  0.373       IN      M-----   02  
 C05                  0.366       IN      M-----   02  
 C06                  0.421       IN      M-----   02  
 C07                  0.422       IN      M-----   02  
 C08                  0.415       IN      M-----   02  
 C09                  0.416       IN      M-----   02  
 C10                  0.419       IN      M-----   02  
 C11                  0.426       IN      M-----   02  
 C12                  0.425       IN      M-----   02  
 C13                  0.428       IN      M-----   02  
 C14                  0.432       IN      M-----   02  
 C15                  0.425       IN      M-----   02  
 D01                  0.385       IN      M-----   02  
 D02                  0.366       IN      M-----   02  
 D03                  0.308       IN      M-----   02  
 D04                  0.384       IN      M-----   02  
 D05                  0.357       IN      M-----   02  
 D06                  0.416       IN      M-----   02  
 D07                  0.414       IN      M-----   02  
 D08                  0.409       IN      M-----   02  
 D09                  0.408       IN      M-----   02  
 D10                  0.416       IN      M-----   02  
 D11                  0.420       IN      M-----   02  
 D12                  0.421       IN      M-----   02  
 D13                  0.423       IN      M-----   02  
 D14                  0.419       IN      M-----   02  
 D15                  0.420       IN      M-----   02  
 E01                  0.383       IN      M-----   02  
 E02                  0.387       IN      M-----   02  
 E03                  0.385       IN      M-----   02  
 E04                  0.304       IN      M-----   02  
 E05                  0.312       IN      M-----   02  
 E06                  0.364       IN      M-----   02  
 E07                  0.412       IN      M-----   02  
 E08                  0.407       IN      M-----   02  
 E09                  0.405       IN      M-----   02  
 E10                  0.411       IN      M-----   02  
 E11                  0.414       IN      M-----   02  
 E12                  0.413       IN      M-----   02  
 E13                  0.415       IN      M-----   02  
 E14                  0.411       IN      M-----   02  
 E15                  0.408       IN      M-----   02  
 F01                  0.392       IN      M-----   02  
 F02                  0.390       IN      M-----   02  
 F03                  0.387       IN      M-----   02  
 F04                  0.381       IN      M-----   02  
 F05                  0.368       IN      M-----   02  
 F06                  0.406       IN      M-----   02  
 F07                  0.408       IN      M-----   02  
 F08                  0.403       IN      M-----   02  
 F09                  0.399       IN      M-----   02  
 F10                  0.406       IN      M-----   02  
 F11                  0.408       IN      M-----   02  
 F12                  0.410       IN      M-----   02  
 F13                  0.407       IN      M-----   02  
 F14                  0.403       IN      M-----   02  
 F15                  0.398       IN      M-----   02  
 G01                  0.398       IN      M-----   02  
 G02                  0.396       IN      M-----   02  
 G03                  0.391       IN      M-----   02  
 G04                  0.388       IN      M-----   02  
 G05                  0.392       IN      M-----   02  
 G06                  0.391       IN      M-----   02  
 G07                  0.401       IN      M-----   02  
 G08                  0.398       IN      M-----   02  
 G09                  0.397       IN      M-----   02  
 G10                  0.399       IN      M-----   02  
 G11                  0.400       IN      M-----   02  
 G12                  0.405       IN      M-----   02  
 G13                  0.405       IN      M-----   02  
 G14                  0.399       IN      M-----   02  
